old,weird,new,lng,lat
S460,460,459,-73.85147,40.679843
S461,461,460,-73.96379006,40.64094017
S462,462,461,-73.941617,40.798629
S463,463,462,-73.860816,40.833226
S464,464,463,-74.006886,40.719318
S465,465,464,-73.858992,40.679371
S466,466,465,-73.981963,40.753821
S467,467,466,-73.997141,40.722301
S468,468,467,-73.937594,40.804138
S469,469,468,-73.981236,40.577281
S470,470,469,-74.00219709,40.75544636
S641,641,470,-73.95836179,40.76880251
S642,642,471,-73.95177091,40.77786104
S643,643,472,-73.94706602,40.78423665
B72,72,473,-73.99392888,40.76727216
B72,72,474,-73.99392888,40.76727216
B79,79,475,-74.00666661,40.71911552
B79,79,476,-74.00666661,40.71911552
B82,82,477,-74.00016545,40.71117416
B82,82,478,-74.00016545,40.71117416
B83,83,479,-73.97632328,40.68382604
B83,83,480,-73.97632328,40.68382604
B119,119,481,-73.97803415,40.69608941
B119,119,482,-73.97803415,40.69608941
B120,120,483,-73.95928168,40.68676793
B120,120,484,-73.95928168,40.68676793
B127,127,485,-74.00674436,40.73172428
B127,127,486,-74.00674436,40.73172428
B128,128,487,-74.00297088,40.72710258
B128,128,488,-74.00297088,40.72710258
B143,143,489,-73.99337909,40.69239502
B143,143,490,-73.99337909,40.69239502
B144,144,491,-73.98068914,40.69839895
B144,144,492,-73.98068914,40.69839895
B146,146,493,-74.0091059,40.71625008
B146,146,494,-74.0091059,40.71625008
B150,150,495,-73.98085795,40.7208736
B150,150,496,-73.98085795,40.7208736
B151,151,497,-73.99724901,40.72210379
B151,151,498,-73.99724901,40.72210379
B152,152,499,-74.00910627,40.71473993
B152,152,500,-74.00910627,40.71473993
B157,157,501,-73.99612349,40.69089272
B157,157,502,-73.99612349,40.69089272
B161,161,503,-73.99810231,40.72917025
B161,161,504,-73.99810231,40.72917025
B164,164,505,-73.97032517,40.75323098
B164,164,506,-73.97032517,40.75323098
B167,167,507,-73.97604882,40.7489006
B167,167,508,-73.97604882,40.7489006
B168,168,509,-73.99456405,40.73971301
B168,168,510,-73.99456405,40.73971301
B173,173,511,-73.98452729,40.76068327
B173,173,512,-73.98452729,40.76068327
B174,174,513,-73.97738662,40.7381765
B174,174,514,-73.97738662,40.7381765
B195,195,515,-74.01043382,40.70905623
B195,195,516,-74.01043382,40.70905623
B212,212,517,-74.00681753,40.74334935
B212,212,518,-74.00681753,40.74334935
B216,216,519,-73.99548059,40.70037867
B216,216,520,-73.99548059,40.70037867
B217,217,521,-73.99383605,40.70277159
B217,217,522,-73.99383605,40.70277159
B223,223,523,-73.99994661,40.73781509
B223,223,524,-73.99994661,40.73781509
B228,228,525,-73.97187886,40.7546011
B228,228,526,-73.97187886,40.7546011
B229,229,527,-73.99379025,40.72743423
B229,229,528,-73.99379025,40.72743423
B232,232,529,-73.99014892,40.69597683
B232,232,530,-73.99014892,40.69597683
B236,236,531,-73.98713956,40.7284186
B236,236,532,-73.98713956,40.7284186
B237,237,533,-73.98672378,40.73047309
B237,237,534,-73.98672378,40.73047309
B238,238,535,-74.00859207,40.7361967
B238,238,536,-74.00859207,40.7361967
B239,239,537,-73.9813018,40.69196566
B239,239,538,-73.9813018,40.69196566
B241,241,539,-73.97493121,40.68981035
B241,241,540,-73.97493121,40.68981035
B242,242,541,-73.973736,40.697787
B242,242,542,-73.973736,40.697787
B243,243,543,-73.979382,40.688226
B243,243,544,-73.979382,40.688226
B244,244,545,-73.96536851,40.69196035
B244,244,546,-73.96536851,40.69196035
B245,245,547,-73.97703874,40.69327018
B245,245,548,-73.97703874,40.69327018
B247,247,549,-74.00483091,40.73535398
B247,247,550,-74.00483091,40.73535398
B248,248,551,-74.00771779,40.72185379
B248,248,552,-74.00771779,40.72185379
B249,249,553,-74.0090009,40.71870987
B249,249,554,-74.0090009,40.71870987
B251,251,555,-73.99480012,40.72317958
B251,251,556,-73.99480012,40.72317958
B252,252,557,-73.99852205,40.73226398
B252,252,558,-73.99852205,40.73226398
B253,253,559,-73.99453948,40.73543934
B253,253,560,-73.99453948,40.73543934
B254,254,561,-73.99800419,40.73532427
B254,254,562,-73.99800419,40.73532427
B257,257,563,-74.00247214,40.71939226
B257,257,564,-74.00247214,40.71939226
B258,258,565,-73.96885458,40.68940747
B258,258,566,-73.96885458,40.68940747
B259,259,567,-74.01234218,40.70122128
B259,259,568,-74.01234218,40.70122128
B260,260,569,-74.01167797,40.70365182
B260,260,570,-74.01167797,40.70365182
B261,261,571,-73.98362464,40.69474881
B261,261,572,-73.98362464,40.69474881
B262,262,573,-73.9737299,40.6917823
B262,262,574,-73.9737299,40.6917823
B264,264,575,-74.00731853,40.70706456
B264,264,576,-74.00731853,40.70706456
B265,265,577,-73.99147535,40.72229346
B265,265,578,-73.99147535,40.72229346
B266,266,579,-73.97574813,40.72368361
B266,266,580,-73.97574813,40.72368361
B267,267,581,-73.98765428,40.75097711
B267,267,582,-73.98765428,40.75097711
B268,268,583,-73.99973337,40.71910537
B268,268,584,-73.99973337,40.71910537
B270,270,585,-73.97178913,40.69308257
B270,270,586,-73.97178913,40.69308257
B274,274,587,-73.976682,40.68691865
B274,274,588,-73.976682,40.68691865
